REPORTER_DEA_NO	REPORTER_BUS_ACT	REPORTER_NAME	REPORTER_ADDL_CO_INFO	REPORTER_ADDRESS1	REPORTER_ADDRESS2	REPORTER_CITY	REPORTER_STATE	REPORTER_ZIP	REPORTER_COUNTY	BUYER_DEA_NO	BUYER_BUS_ACT	BUYER_NAME	BUYER_ADDL_CO_INFO	BUYER_ADDRESS1	BUYER_ADDRESS2	BUYER_CITY	BUYER_STATE	BUYER_ZIP	BUYER_COUNTY	TRANSACTION_CODE	DRUG_CODE	NDC_NO	DRUG_NAME	QUANTITY	UNIT	ACTION_INDICATOR	ORDER_FORM_NO	CORRECTION_NO	STRENGTH	TRANSACTION_DATE	CALC_BASE_WT_IN_GM	DOSAGE_UNIT	TRANSACTION_ID	Product_Name	Ingredient_Name	Measure	MME_Conversion_Factor	Combined_Labeler_Name	Revised_Company_Name	Reporter_family	dos_str
RM0424363	DISTRIBUTOR	MCKESSON CORPORATION	null	10504 MCKESSON DRIVE	null	RUTHER GLEN	VA	22546	CAROLINE	AA1773844	RETAIL PHARMACY	ANNAPOLIS PROF PHARMACY INC	null	703 GIDDINGS AVENUE SUITE L-1	null	ANNAPOLIS	MD	21401	ANNE ARUNDEL	S	9143	228287911	OXYCODONE	2	null	null	12X000244	null	null	7232012	5.379	200	1207008175	OXYCODONE HCL 30MG TABLETS, 100 CT	OXYCODONE HYDROCHLORIDE	TAB	1.5	Actavis Pharma, Inc.	Allergan, Inc.	McKesson Corporation	30
RM0424363	DISTRIBUTOR	MCKESSON CORPORATION	null	10504 MCKESSON DRIVE	null	RUTHER GLEN	VA	22546	CAROLINE	AA1773844	RETAIL PHARMACY	ANNAPOLIS PROF PHARMACY INC	null	703 GIDDINGS AVENUE SUITE L-1	null	ANNAPOLIS	MD	21401	ANNE ARUNDEL	S	9143	57664018788	OXYCODONE	2	null	null	12X000282	null	null	8232012	2.6895	200	1208060342	OXYCODONE HCL 15MG TABLETS, USP	OXYCODONE HYDROCHLORIDE	TAB	1.5	Sun Pharmaceutical Industries, Inc.	Sun Pharmaceutical Industries, Inc.	McKesson Corporation	15
RM0424363	DISTRIBUTOR	MCKESSON CORPORATION	null	10504 MCKESSON DRIVE	null	RUTHER GLEN	VA	22546	CAROLINE	AA1773844	RETAIL PHARMACY	ANNAPOLIS PROF PHARMACY INC	null	703 GIDDINGS AVENUE SUITE L-1	null	ANNAPOLIS	MD	21401	ANNE ARUNDEL	S	9143	60951071270	OXYCODONE	4	null	null	12X000269	null	null	8132012	3.586	400	1208073586	ENDOCET - 10MG OXYCODONE.HCL/325MG A	OXYCODONE HYDROCHLORIDE	TAB	1.5	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	McKesson Corporation	10
RM0424363	DISTRIBUTOR	MCKESSON CORPORATION	null	10504 MCKESSON DRIVE	null	RUTHER GLEN	VA	22546	CAROLINE	AA1773844	RETAIL PHARMACY	ANNAPOLIS PROF PHARMACY INC	null	703 GIDDINGS AVENUE SUITE L-1	null	ANNAPOLIS	MD	21401	ANNE ARUNDEL	S	9143	406051205	OXYCODONE	1	null	null	12X000295	null	null	9042012	2.24125	500	1209015437	OXYCODONE HCL/ACETAMINOPHEN 5MG/325M	OXYCODONE HYDROCHLORIDE	TAB	1.5	SpecGx LLC	Mallinckrodt	McKesson Corporation	5
RM0424363	DISTRIBUTOR	MCKESSON CORPORATION	null	10504 MCKESSON DRIVE	null	RUTHER GLEN	VA	22546	CAROLINE	AA1773844	RETAIL PHARMACY	ANNAPOLIS PROF PHARMACY INC	null	703 GIDDINGS AVENUE SUITE L-1	null	ANNAPOLIS	MD	21401	ANNE ARUNDEL	S	9143	57664018788	OXYCODONE	2	null	null	12X000309	null	null	9172012	2.6895	200	1209052341	OXYCODONE HCL 15MG TABLETS, USP	OXYCODONE HYDROCHLORIDE	TAB	1.5	Sun Pharmaceutical Industries, Inc.	Sun Pharmaceutical Industries, Inc.	McKesson Corporation	15
RM0424363	DISTRIBUTOR	MCKESSON CORPORATION	null	10504 MCKESSON DRIVE	null	RUTHER GLEN	VA	22546	CAROLINE	AA1773844	RETAIL PHARMACY	ANNAPOLIS PROF PHARMACY INC	null	703 GIDDINGS AVENUE SUITE L-1	null	ANNAPOLIS	MD	21401	ANNE ARUNDEL	S	9143	59011044010	OXYCODONE	2	null	null	12X000355	null	null	10222012	7.172	200	1210063965	OXYCONTIN 40MG OXYCODONE HCL CR TABL	OXYCODONE HYDROCHLORIDE	TAB	1.5	Purdue Pharma LP	Purdue Pharma LP	McKesson Corporation	40
RM0424363	DISTRIBUTOR	MCKESSON CORPORATION	null	10504 MCKESSON DRIVE	null	RUTHER GLEN	VA	22546	CAROLINE	AA1773844	RETAIL PHARMACY	ANNAPOLIS PROF PHARMACY INC	null	703 GIDDINGS AVENUE SUITE L-1	null	ANNAPOLIS	MD	21401	ANNE ARUNDEL	S	9143	60951070070	OXYCODONE	1	null	null	12X000332	null	null	10042012	0.672375	100	1210072137	ENDOCET - 7.5MG OXYCODONE.HCL/325MG	OXYCODONE HYDROCHLORIDE	TAB	1.5	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	McKesson Corporation	7.5
RM0424363	DISTRIBUTOR	MCKESSON CORPORATION	null	10504 MCKESSON DRIVE	null	RUTHER GLEN	VA	22546	CAROLINE	AA1773844	RETAIL PHARMACY	ANNAPOLIS PROF PHARMACY INC	null	703 GIDDINGS AVENUE SUITE L-1	null	ANNAPOLIS	MD	21401	ANNE ARUNDEL	S	9143	60951070070	OXYCODONE	1	null	null	12X000333	null	null	10042012	0.672375	100	1210072138	ENDOCET - 7.5MG OXYCODONE.HCL/325MG	OXYCODONE HYDROCHLORIDE	TAB	1.5	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	McKesson Corporation	7.5
RM0424363	DISTRIBUTOR	MCKESSON CORPORATION	null	10504 MCKESSON DRIVE	null	RUTHER GLEN	VA	22546	CAROLINE	AA1773844	RETAIL PHARMACY	ANNAPOLIS PROF PHARMACY INC	null	703 GIDDINGS AVENUE SUITE L-1	null	ANNAPOLIS	MD	21401	ANNE ARUNDEL	S	9143	228287811	OXYCODONE	2	null	null	12X000401	null	null	12032012	2.6895	200	1212007143	OXYCODONE HCL 15MG TABLETS, 100 CT	OXYCODONE HYDROCHLORIDE	TAB	1.5	Actavis Pharma, Inc.	Allergan, Inc.	McKesson Corporation	15
PD0029567	DISTRIBUTOR	MCKESSON CORPORATION	null	DBA MCKESSON DRUG COMPANY	7721 POLK STREET	LANDOVER	MD	20785	PRINCE GEORGES	AA1773844	RETAIL PHARMACY	ANNAPOLIS PROF PHARMACY INC	null	703 GIDDINGS AVENUE SUITE L-1	null	ANNAPOLIS	MD	21401	ANNE ARUNDEL	S	9143	60951070070	OXYCODONE	1	null	null	12X000044	null	null	2032012	0.672375	100	1202058913	ENDOCET - 7.5MG OXYCODONE.HCL/325MG	OXYCODONE HYDROCHLORIDE	TAB	1.5	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	McKesson Corporation	7.5
RA0180733	DISTRIBUTOR	ANDA, INC	null	2915 WESTON ROAD	null	WESTON	FL	33331	BROWARD	AA1773844	RETAIL PHARMACY	ANNAPOLIS PROF PHARMACY INC	null	703 GIDDINGS AVENUE SUITE L-1	null	ANNAPOLIS	MD	21401	ANNE ARUNDEL	S	9193	591320301	HYDROCODONE	1	null	null	null	null	null	1062012	0.45405	100	1201001603	HYDROCODONE BITARTRATE AND ACETA 7.5	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Actavis Pharma, Inc.	Allergan, Inc.	Anda, Inc	7.5
RA0180733	DISTRIBUTOR	ANDA, INC	null	2915 WESTON ROAD	null	WESTON	FL	33331	BROWARD	AA1773844	RETAIL PHARMACY	ANNAPOLIS PROF PHARMACY INC	null	703 GIDDINGS AVENUE SUITE L-1	null	ANNAPOLIS	MD	21401	ANNE ARUNDEL	S	9193	591320301	HYDROCODONE	1	null	null	null	null	null	6152012	0.45405	100	1206003563	HYDROCODONE BITARTRATE AND ACETA 7.5	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Actavis Pharma, Inc.	Allergan, Inc.	Anda, Inc	7.5
RA0180733	DISTRIBUTOR	ANDA, INC	null	2915 WESTON ROAD	null	WESTON	FL	33331	BROWARD	AA1773844	RETAIL PHARMACY	ANNAPOLIS PROF PHARMACY INC	null	703 GIDDINGS AVENUE SUITE L-1	null	ANNAPOLIS	MD	21401	ANNE ARUNDEL	S	9193	591320201	HYDROCODONE	1	null	null	null	null	null	8202012	0.3027	100	1208004037	HYDROCODONE BITARTRATE AND ACETA 5MG	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Actavis Pharma, Inc.	Allergan, Inc.	Anda, Inc	5
RA0287020	DISTRIBUTOR	ANDA PHARMACEUTICALS INC	null	6500 ADELAIDE COURT	null	GROVEPORT	OH	43125	FRANKLIN	AA1773844	RETAIL PHARMACY	ANNAPOLIS PROF PHARMACY INC	null	703 GIDDINGS AVENUE SUITE L-1	null	ANNAPOLIS	MD	21401	ANNE ARUNDEL	S	9143	603499121	OXYCODONE	3	null	null	12XW00894	null	null	4112012	4.03425	300	1204014919	OXYCODONE HCL 15MG USP TABLETS	OXYCODONE HYDROCHLORIDE	TAB	1.5	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	Anda, Inc	15
RA0287020	DISTRIBUTOR	ANDA PHARMACEUTICALS INC	null	6500 ADELAIDE COURT	null	GROVEPORT	OH	43125	FRANKLIN	AA1773844	RETAIL PHARMACY	ANNAPOLIS PROF PHARMACY INC	null	703 GIDDINGS AVENUE SUITE L-1	null	ANNAPOLIS	MD	21401	ANNE ARUNDEL	S	9143	603499121	OXYCODONE	3	null	null	12XW00898	null	null	4172012	4.03425	300	1204023060	OXYCODONE HCL 15MG USP TABLETS	OXYCODONE HYDROCHLORIDE	TAB	1.5	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	Anda, Inc	15
RM0424363	DISTRIBUTOR	MCKESSON CORPORATION	null	10504 MCKESSON DRIVE	null	RUTHER GLEN	VA	22546	CAROLINE	AA1773844	RETAIL PHARMACY	ANNAPOLIS PROF PHARMACY INC	null	703 GIDDINGS AVENUE SUITE L-1	null	ANNAPOLIS	MD	21401	ANNE ARUNDEL	S	9143	57664018788	OXYCODONE	3	null	null	12X000134	null	null	4132012	4.03425	300	1204048601	OXYCODONE HCL 15MG TABLETS, USP	OXYCODONE HYDROCHLORIDE	TAB	1.5	Sun Pharmaceutical Industries, Inc.	Sun Pharmaceutical Industries, Inc.	McKesson Corporation	15
RM0424363	DISTRIBUTOR	MCKESSON CORPORATION	null	10504 MCKESSON DRIVE	null	RUTHER GLEN	VA	22546	CAROLINE	AA1773844	RETAIL PHARMACY	ANNAPOLIS PROF PHARMACY INC	null	703 GIDDINGS AVENUE SUITE L-1	null	ANNAPOLIS	MD	21401	ANNE ARUNDEL	S	9143	60951070070	OXYCODONE	1	null	null	12X000122	null	null	4032012	0.672375	100	1204058477	ENDOCET - 7.5MG OXYCODONE.HCL/325MG	OXYCODONE HYDROCHLORIDE	TAB	1.5	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	McKesson Corporation	7.5
RM0424363	DISTRIBUTOR	MCKESSON CORPORATION	null	10504 MCKESSON DRIVE	null	RUTHER GLEN	VA	22546	CAROLINE	AA1773844	RETAIL PHARMACY	ANNAPOLIS PROF PHARMACY INC	null	703 GIDDINGS AVENUE SUITE L-1	null	ANNAPOLIS	MD	21401	ANNE ARUNDEL	S	9143	60951071270	OXYCODONE	2	null	null	12X000144	null	null	4232012	1.793	200	1204059537	ENDOCET - 10MG OXYCODONE.HCL/325MG A	OXYCODONE HYDROCHLORIDE	TAB	1.5	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	McKesson Corporation	10
RM0424363	DISTRIBUTOR	MCKESSON CORPORATION	null	10504 MCKESSON DRIVE	null	RUTHER GLEN	VA	22546	CAROLINE	AA1773844	RETAIL PHARMACY	ANNAPOLIS PROF PHARMACY INC	null	703 GIDDINGS AVENUE SUITE L-1	null	ANNAPOLIS	MD	21401	ANNE ARUNDEL	S	9143	60951071270	OXYCODONE	2	null	null	12X000149	null	null	4262012	1.793	200	1204059656	ENDOCET - 10MG OXYCODONE.HCL/325MG A	OXYCODONE HYDROCHLORIDE	TAB	1.5	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	McKesson Corporation	10
RM0424363	DISTRIBUTOR	MCKESSON CORPORATION	null	10504 MCKESSON DRIVE	null	RUTHER GLEN	VA	22546	CAROLINE	AA1773844	RETAIL PHARMACY	ANNAPOLIS PROF PHARMACY INC	null	703 GIDDINGS AVENUE SUITE L-1	null	ANNAPOLIS	MD	21401	ANNE ARUNDEL	S	9143	228287811	OXYCODONE	2	null	null	12X000186	null	null	5302012	2.6895	200	1205008925	OXYCODONE HCL 15MG TABLETS, 100 CT	OXYCODONE HYDROCHLORIDE	TAB	1.5	Actavis Pharma, Inc.	Allergan, Inc.	McKesson Corporation	15
RM0424363	DISTRIBUTOR	MCKESSON CORPORATION	null	10504 MCKESSON DRIVE	null	RUTHER GLEN	VA	22546	CAROLINE	AA1773844	RETAIL PHARMACY	ANNAPOLIS PROF PHARMACY INC	null	703 GIDDINGS AVENUE SUITE L-1	null	ANNAPOLIS	MD	21401	ANNE ARUNDEL	S	9143	59011041010	OXYCODONE	1	null	null	12X000183	null	null	5292012	0.8965	100	1205062327	OXYCONTIN 10MG OXYCODONE HCL CR TABL	OXYCODONE HYDROCHLORIDE	TAB	1.5	Purdue Pharma LP	Purdue Pharma LP	McKesson Corporation	10
RM0424363	DISTRIBUTOR	MCKESSON CORPORATION	null	10504 MCKESSON DRIVE	null	RUTHER GLEN	VA	22546	CAROLINE	AA1773844	RETAIL PHARMACY	ANNAPOLIS PROF PHARMACY INC	null	703 GIDDINGS AVENUE SUITE L-1	null	ANNAPOLIS	MD	21401	ANNE ARUNDEL	S	9143	60951071270	OXYCODONE	2	null	null	12X000156	null	null	5022012	1.793	200	1205074040	ENDOCET - 10MG OXYCODONE.HCL/325MG A	OXYCODONE HYDROCHLORIDE	TAB	1.5	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	McKesson Corporation	10
RM0424363	DISTRIBUTOR	MCKESSON CORPORATION	null	10504 MCKESSON DRIVE	null	RUTHER GLEN	VA	22546	CAROLINE	AA1773844	RETAIL PHARMACY	ANNAPOLIS PROF PHARMACY INC	null	703 GIDDINGS AVENUE SUITE L-1	null	ANNAPOLIS	MD	21401	ANNE ARUNDEL	S	9193	591038505	HYDROCODONE	1	null	null	null	null	null	6052012	2.27025	500	1206029842	HYDROCODONE BIT.7.5MG/ACETAMINOPHEN	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Actavis Pharma, Inc.	Allergan, Inc.	McKesson Corporation	7.5
RM0424363	DISTRIBUTOR	MCKESSON CORPORATION	null	10504 MCKESSON DRIVE	null	RUTHER GLEN	VA	22546	CAROLINE	AA1773844	RETAIL PHARMACY	ANNAPOLIS PROF PHARMACY INC	null	703 GIDDINGS AVENUE SUITE L-1	null	ANNAPOLIS	MD	21401	ANNE ARUNDEL	S	9143	406055201	OXYCODONE	1	null	null	12X000239	null	null	7172012	0.44825	100	1207017370	OXYCODONE HYDROCHLORIDE TABLETS 5MG	OXYCODONE HYDROCHLORIDE	TAB	1.5	SpecGx LLC	Mallinckrodt	McKesson Corporation	5
RM0424363	DISTRIBUTOR	MCKESSON CORPORATION	null	10504 MCKESSON DRIVE	null	RUTHER GLEN	VA	22546	CAROLINE	AA1773844	RETAIL PHARMACY	ANNAPOLIS PROF PHARMACY INC	null	703 GIDDINGS AVENUE SUITE L-1	null	ANNAPOLIS	MD	21401	ANNE ARUNDEL	S	9143	59011048010	OXYCODONE	1	null	null	12X000230	null	null	7092012	7.172	100	1207060172	OXYCONTIN 80MG OXYCODONE HCL CR TABL	OXYCODONE HYDROCHLORIDE	TAB	1.5	Purdue Pharma LP	Purdue Pharma LP	McKesson Corporation	80
RM0424363	DISTRIBUTOR	MCKESSON CORPORATION	null	10504 MCKESSON DRIVE	null	RUTHER GLEN	VA	22546	CAROLINE	AA1773844	RETAIL PHARMACY	ANNAPOLIS PROF PHARMACY INC	null	703 GIDDINGS AVENUE SUITE L-1	null	ANNAPOLIS	MD	21401	ANNE ARUNDEL	S	9143	60951070070	OXYCODONE	1	null	null	12X000262	null	null	8032012	0.672375	100	1208072561	ENDOCET - 7.5MG OXYCODONE.HCL/325MG	OXYCODONE HYDROCHLORIDE	TAB	1.5	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	McKesson Corporation	7.5
RM0424363	DISTRIBUTOR	MCKESSON CORPORATION	null	10504 MCKESSON DRIVE	null	RUTHER GLEN	VA	22546	CAROLINE	AA1773844	RETAIL PHARMACY	ANNAPOLIS PROF PHARMACY INC	null	703 GIDDINGS AVENUE SUITE L-1	null	ANNAPOLIS	MD	21401	ANNE ARUNDEL	S	9143	57664018788	OXYCODONE	1	null	null	12X000360	null	null	10262012	1.34475	100	1210059935	OXYCODONE HCL 15MG TABLETS, USP	OXYCODONE HYDROCHLORIDE	TAB	1.5	Sun Pharmaceutical Industries, Inc.	Sun Pharmaceutical Industries, Inc.	McKesson Corporation	15
RM0424363	DISTRIBUTOR	MCKESSON CORPORATION	null	10504 MCKESSON DRIVE	null	RUTHER GLEN	VA	22546	CAROLINE	AA1773844	RETAIL PHARMACY	ANNAPOLIS PROF PHARMACY INC	null	703 GIDDINGS AVENUE SUITE L-1	null	ANNAPOLIS	MD	21401	ANNE ARUNDEL	S	9143	59011041510	OXYCODONE	1	null	null	12X000368	null	null	11052012	1.34475	100	1211060797	OXYCONTIN 15MG OXYCODONE HCL CR TABL	OXYCODONE HYDROCHLORIDE	TAB	1.5	Purdue Pharma LP	Purdue Pharma LP	McKesson Corporation	15
RM0424363	DISTRIBUTOR	MCKESSON CORPORATION	null	10504 MCKESSON DRIVE	null	RUTHER GLEN	VA	22546	CAROLINE	AA1773844	RETAIL PHARMACY	ANNAPOLIS PROF PHARMACY INC	null	703 GIDDINGS AVENUE SUITE L-1	null	ANNAPOLIS	MD	21401	ANNE ARUNDEL	S	9143	59011043010	OXYCODONE	1	null	null	12X000397	null	null	11292012	2.6895	100	1211062542	OXYCONTIN 30MG OXYCODONE HCL CR TABL	OXYCODONE HYDROCHLORIDE	TAB	1.5	Purdue Pharma LP	Purdue Pharma LP	McKesson Corporation	30
RM0424363	DISTRIBUTOR	MCKESSON CORPORATION	null	10504 MCKESSON DRIVE	null	RUTHER GLEN	VA	22546	CAROLINE	AA1773844	RETAIL PHARMACY	ANNAPOLIS PROF PHARMACY INC	null	703 GIDDINGS AVENUE SUITE L-1	null	ANNAPOLIS	MD	21401	ANNE ARUNDEL	S	9143	60951070070	OXYCODONE	1	null	null	12X000368	null	null	11052012	0.672375	100	1211070970	ENDOCET - 7.5MG OXYCODONE.HCL/325MG	OXYCODONE HYDROCHLORIDE	TAB	1.5	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	McKesson Corporation	7.5
RM0424363	DISTRIBUTOR	MCKESSON CORPORATION	null	10504 MCKESSON DRIVE	null	RUTHER GLEN	VA	22546	CAROLINE	AA1773844	RETAIL PHARMACY	ANNAPOLIS PROF PHARMACY INC	null	703 GIDDINGS AVENUE SUITE L-1	null	ANNAPOLIS	MD	21401	ANNE ARUNDEL	S	9143	228287911	OXYCODONE	1	null	null	12X000411	null	null	12102012	2.6895	100	1212007703	OXYCODONE HCL 30MG TABLETS, 100 CT	OXYCODONE HYDROCHLORIDE	TAB	1.5	Actavis Pharma, Inc.	Allergan, Inc.	McKesson Corporation	30
RM0424363	DISTRIBUTOR	MCKESSON CORPORATION	null	10504 MCKESSON DRIVE	null	RUTHER GLEN	VA	22546	CAROLINE	AA1773844	RETAIL PHARMACY	ANNAPOLIS PROF PHARMACY INC	null	703 GIDDINGS AVENUE SUITE L-1	null	ANNAPOLIS	MD	21401	ANNE ARUNDEL	S	9143	53746020401	OXYCODONE	1	null	null	12X000432	null	null	12272012	0.8965	100	1212055470	OXYCODONE HCL/ACETAMINOPHEN TABS 10M	OXYCODONE HYDROCHLORIDE	TAB	1.5	Amneal Pharmaceuticals LLC	Amneal Pharmaceuticals, Inc.	McKesson Corporation	10
